pixel,true_gps_lat,true_gps_lon,true_attitude_roll,true_attitude_pitch,true_attitude_yaw,estimated_gps_lat,estimated_gps_lon,timestamp
"(321, 242)",40.9588854,29.1357978,9.999,-0.23669052069199223,-0.1075919879415639,91.28251395512063,40.95888665111471,29.13579748145136,1756989277.6364808
"(321, 242)",40.9588854,29.1357978,9.999,-0.12153984120643156,-0.10835420770446823,91.29043014436867,40.958886470616314,29.135797477892925,1756989277.7511673
"(321, 241)",40.9588854,29.1357978,9.999,0.053020173860497094,-0.10492757383502424,91.28364776652285,40.9588857600526,29.135797449542512,1756989277.8688636
"(321, 241)",40.9588854,29.1357978,9.999,0.053020173860497094,-0.10492757383502424,91.28364776652285,40.9588857600526,29.135797449542512,1756989277.9733534
"(321, 241)",40.9588854,29.1357978,9.999,0.053020173860497094,-0.10492757383502424,91.28364776652285,40.9588857600526,29.135797449542512,1756989278.0974598
"(321, 242)",40.9588854,29.1357978,9.999,-0.23577418144572626,-0.10884273965289604,91.2857104836522,40.9588866496476,29.13579748409706,1756989278.20376
"(321, 243)",40.9588854,29.1357978,9.999,-0.23577418144572626,-0.10884273965289604,91.2857104836522,40.958887086742884,29.13579749707576,1756989278.4143202
"(321, 242)",40.9588854,29.1357978,9.999,-0.23170197463779704,-0.10769924325587425,91.28335406838855,40.95888664329444,29.135797481466966,1756989278.5343163
"(321, 241)",40.9588854,29.1357978,9.999,-0.23170197463779704,-0.10769924325587425,91.28335406838855,40.95888620621695,29.13579746851241,1756989278.7443142
"(322, 241)",40.9588853,29.1357978,10.0,0.025563460397387133,-0.10592658905273777,91.28793029513245,40.95888571293395,29.135796874121766,1756989278.866779
"(321, 242)",40.9588853,29.1357978,10.0,-0.18012114641801444,-0.1083869512578233,91.29297097473992,40.95888646257017,29.13579748072901,1756989279.0757937
"(321, 242)",40.9588853,29.1357978,10.0,-0.18012114641801444,-0.1083869512578233,91.29297097473992,40.95888646257017,29.13579748072901,1756989279.2943397
"(321, 243)",40.9588853,29.1357978,10.0,-0.3071817815057997,-0.09576937738541479,91.2922469746879,40.95888709937083,29.13579747349558,1756989279.4057517
"(321, 241)",40.9588853,29.1357978,10.0,-0.013413178352665936,-0.09403735747175458,91.29148199350085,40.958885764642815,29.135797430074287,1756989279.6326883
"(321, 241)",40.9588853,29.1357978,10.0,-0.013413178352665936,-0.09403735747175458,91.29148199350085,40.958885764642815,29.135797430074287,1756989279.7370274
"(321, 243)",40.9588853,29.1357978,10.0,-0.0918275178008844,-0.0941054726004696,91.29421406916886,40.95888676177084,29.135797460061365,1756989280.0166216
"(321, 243)",40.9588853,29.1357978,10.0,-0.0918275178008844,-0.0941054726004696,91.29421406916886,40.95888676177084,29.135797460061365,1756989280.120414
"(321, 242)",40.9588853,29.1357978,10.001,-0.3509612396927452,-0.09669536827594737,91.2949585597884,40.958886730974946,29.135797464474063,1756989280.2387109
"(321, 242)",40.9588853,29.1357978,10.001,-0.3509612396927452,-0.09669536827594737,91.2949585597884,40.958886730974946,29.135797464474063,1756989280.4488173
"(321, 242)",40.9588853,29.1357978,10.001,-0.14695769651154644,-0.09012619371784959,91.29161859728426,40.95888641133184,29.135797441206282,1756989280.561906
"(321, 242)",40.9588853,29.1357978,10.001,-0.035030479448048345,-0.0954273676689183,91.29071701231382,40.95888623565965,29.13579744696478,1756989280.7784493
"(321, 243)",40.9588853,29.1357978,10.001,-0.035030479448048345,-0.0954273676689183,91.29071701231382,40.958886672797135,29.13579746000521,1756989280.882155
"(322, 243)",40.9588852,29.1357978,10.001,-0.3368689852898486,-0.10382445826342751,91.29785455999648,40.95888705573291,29.1357969129156,1756989281.1079895
"(322, 243)",40.9588852,29.1357978,10.001,-0.3368689852898486,-0.10382445826342751,91.29785455999648,40.95888705573291,29.1357969129156,1756989281.2187061
"(321, 242)",40.9588852,29.1357978,10.001,-0.2668394025752516,-0.10180092801042528,91.29797750340154,40.9588864989068,29.135797471227608,1756989281.4281564
"(321, 242)",40.9588852,29.1357978,10.001,-0.011373250476323055,-0.09845330155379262,91.29663878632422,40.95888609849074,29.135797452264946,1756989281.5323396
"(321, 243)",40.9588852,29.1357978,10.001,-0.011373250476323055,-0.09845330155379262,91.29663878632422,40.95888653562257,29.13579746536623,1756989281.6351328
"(322, 243)",40.9588852,29.1357978,10.001,-0.011373250476323055,-0.09845330155379262,91.29663878632422,40.958886545505536,29.135796886531352,1756989281.7369237
"(322, 243)",40.9588852,29.1357978,10.0,-0.30226924798654736,-0.10954392127019999,91.29480829562665,40.95888700105267,29.135796923135967,1756989281.8422034
"(321, 243)",40.9588852,29.1357978,10.0,-0.30226924798654736,-0.10954392127019999,91.29480829562665,40.95888699118931,29.135797501963268,1756989281.9600735
"(321, 242)",40.9588852,29.1357978,9.999,-0.3068438739048692,-0.11933014160780021,91.29333297476593,40.958886560717715,29.13579750940322,1756989282.0734863
"(322, 243)",40.9588852,29.1357978,9.999,-0.3068438739048692,-0.11933014160780021,91.29333297476593,40.958887007679415,29.13579694368629,1756989282.285673
"(321, 242)",40.9588852,29.1357978,9.999,-0.025242516545095912,-0.11662445288154957,91.30196633387683,40.958886119426616,29.135797490810504,1756989282.3966482
"(321, 242)",40.9588852,29.1357978,9.999,-0.025242516545095912,-0.11662445288154957,91.30196633387683,40.958886119426616,29.135797490810504,1756989282.49771
"(322, 242)",40.9588852,29.1357978,9.999,-0.025242516545095912,-0.11662445288154957,91.30196633387683,40.95888612935029,29.135796912093806,1756989282.6039798
"(321, 242)",40.9588852,29.1357978,9.999,-0.2588151842805296,-0.11152413585086816,91.29074433307049,40.9588864856928,29.13579749088184,1756989282.7183037
"(321, 243)",40.9588851,29.1357978,9.999,-0.3949757791171007,-0.12202094265609434,91.2935242200627,40.958887035922764,29.135797532161817,1756989282.9257965
"(322, 242)",40.9588851,29.1357978,9.999,-0.3949757791171007,-0.12202094265609434,91.2935242200627,40.958886608639745,29.13579694034244,1756989283.1295168
"(322, 242)",40.9588851,29.1357978,9.999,-0.09512325082808083,-0.13491248448745705,91.29461022014073,40.95888613814902,29.13579695315548,1756989283.2344441
